Intel® Product Specification Comparison
09/02/2026 07:42:58 PM
 ,Intel® Xeon® 6333P Processor ,Intel® Xeon® 6315P Processor ,Intel® Xeon® 6325P Processor ,Intel® Xeon® 6357P Processor ,Intel® Xeon® 6353P Processor ,Intel® Xeon® 6349P Processor ,Intel® Xeon® 6337P Processor ,Intel® Xeon® 6369P Processor ,Intel® Xeon® 6747P Processor ,Intel® Xeon® 6521P Processor ,Intel® Xeon® 6530P Processor ,Intel® Xeon® 6520P Processor ,Intel® Xeon® 6732P Processor ,Intel® Xeon® 6527P Processor ,Intel® Xeon® 6517P Processor ,Intel® Xeon® 6511P Processor ,Intel® Xeon® 6505P Processor ,Intel® Xeon® 6507P Processor ,Intel® Xeon® 6515P Processor ,Intel® Xeon® 6724P Processor ,Intel® Xeon® 6714P Processor ,Intel® Xeon® 6944P Processor ,Intel® Xeon® 6726P-B Processor ,Intel® Xeon® 6503P-B Processor ,Intel® Xeon® 6516P-B Processor ,Intel® Xeon® 6533P-B Processor ,Intel® Xeon® 6523P-B Processor ,Intel® Xeon® 6546P-B Processor ,Intel® Xeon® 6543P-B Processor ,Intel® Xeon® 6553P-B Processor ,Intel® Xeon® 6706P-B Processor ,Intel® Xeon® 6563P-B Processor ,Intel® Xeon® 6556P-B Processor ,Intel® Xeon® 6716P-B Processor ,Intel® Xeon® 6513P-B Processor ,Intel® Xeon® 6745P Processor ,Intel® Xeon® 6776P Processor ,Intel® Xeon® 6774P Processor ,Intel Atom® P6952-3 Processor ,Intel Atom® P6942-3 Processor ,Intel Atom® P6962-3 Processor ,Intel Atom® P6962-5 Processor ,Intel® Core™ Ultra 5 Processor 235TA ,Intel® Core™ Ultra 5 Processor 235A ,Intel® Xeon® 698X Processor ,Intel® Xeon® 6532P-B Processor ,Intel® Core™ Ultra 5 Processor 235UA ,Intel® Xeon® 696X Processor ,Intel® Xeon® 676X Processor ,Intel® Xeon® 678X Processor ,Intel® Xeon® 636 Processor ,Intel® Xeon® 638 Processor ,Intel® Xeon® 656 Processor ,Intel® Xeon® 654 Processor ,Intel® Xeon® 658X Processor ,Intel® Xeon® 674X Processor ,Intel® Xeon® 6962P Processor ,Intel® Xeon® 6978P Processor ,Intel® Xeon® 634 Processor ,Intel Atom® x7835FE Processor ,Intel Atom® x7433FE Processor ,Intel® Xeon® 6548P-B Processor ,Intel® Xeon® 6725P Processor ,Intel® Xeon® 6776P-B Processor ,Intel® Xeon® 6766P-B Processor ,Intel® Xeon® 6756P-B Processor ,Intel® Core™ Ultra X7 Processor 368H ,Intel® Core™ Ultra X9 Processor 388H ,Intel® Core™ Ultra X7 Processor 358H ,Intel® Core™ Ultra 9 Processor 386H ,Intel® Core™ Ultra 7 Processor 366H ,Intel® Core™ Ultra 5 Processor 338H ,Intel® Core™ Ultra 7 Processor 356H ,Intel® Core™ Ultra 5 Processor 336H ,Intel® Xeon® 6544P-B Processor ,Intel® Xeon® 6718P-B Processor ,Intel® Xeon® 6518P-B Processor ,Intel® Arc™ G3 Extreme Processor ,Intel® Arc™ G3  Processor ,Intel® Core™ Ultra 5 processor 250KF Plus ,Intel® Core™ Ultra 7 processor 270K Plus ,Intel® Core™ Ultra 5 processor 250K Plus ,Intel® Core™ Ultra 7 Processor 365 ,Intel® Core™ 5 Processor 223PQE ,Intel® Core™ 5 Processor 213PE ,Intel® Core™ Ultra 5 Processor 322 ,Intel® Core™ 9 Processor 273PE ,Intel® Core™ Ultra 5 Processor 332 ,Intel® Core™ 9 Processor 273PTE ,Intel® Core™ Ultra 5 Processor 325 ,Intel® Core™ 5 Processor 223PTE ,Intel® Core™ Ultra 7 Processor 355 ,Intel® Core™ 7 Processor 253PTE ,Intel® Core™ 9 Processor 273PQE ,Intel® Core™ 7 Processor 253PE ,Intel® Core™ 5 Processor 213PTE ,Intel® Core™ Ultra 5 Processor 335 ,Intel® Core™ 5 Processor 223PE ,Intel® Core™ 7 Processor 253PQE ,Intel® Xeon® 6768P-B Processor ,Intel® Core™ Ultra 7 processor 251HX ,Intel® Core™ Ultra 9 processor 290HX Plus ,Intel® Core™ Ultra 7 processor 270HX Plus ,Intel® Core™ 7 processor 360 ,Intel® Core™ 5 processor 330 ,Intel® Core™ 7 processor 350 ,Intel® Core™ 5 processor 320 ,Intel® Core™ 3 processor 305 ,Intel® Core™ 3 processor 304 ,Intel Atom® P6942-5 Processor ,Intel Atom® P6922-3 Processor ,Intel® Xeon® 6990E+ processor ,Intel® Xeon® 6980E+ processor ,Intel® Xeon® 6960E+ processor ,Intel® Xeon® 6970E+ processor ,Intel® Xeon® 6503P processor ,Intel® Core™ 5 processor 315 ,Intel® Core™ Ultra X9 processor 378H ,Intel® Xeon® 6377P Processor 
Memory Types,DDR5-4800,DDR5-4800,DDR5-4800,DDR5-4800,DDR5-4800,DDR5-4800,DDR5-4800,DDR5-4800,DDR5(6400MT/s) |  MRDIMM(8800MT/s),DDR5(6400MT/s),DDR5(6400MT/s),DDR5(6400MT/s),DDR5(6400MT/s),DDR5(6400MT/s),DDR5(6400MT/s),DDR5(6400MT/s),DDR5(6400MT/s),DDR5(6400MT/s),DDR5(6400MT/s),DDR5(6400MT/s),DDR5(6400MT/s),DDR5(6400MT/s),DDR5,DDR5,DDR5,DDR5,DDR5,DDR5,DDR5,DDR5,DDR5,DDR5,DDR5,DDR5,DDR5,DDR5(6400MT/s),DDR5(6400MT/s) |  MRDIMM(8800MT/s),DDR5(6400MT/s) |  MRDIMM(8800MT/s),DDR5,DDR5,DDR5,DDR5,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,DDR5(6400MT/s)MRDIMM(8000MT/s),DDR5,Up to LPDDR5/X 8400 MT/sUp to DDR5 6400 MT/s,DDR5(6400MT/s)MRDIMM(8000MT/s),DDR5(6400MT/s)MRDIMM(8000MT/s),DDR5(6400MT/s)MRDIMM(8000MT/s),DDR5(6400MT/s),DDR5(6400MT/s),DDR5(6400MT/s),DDR5(6400MT/s),DDR5(6400MT/s),DDR5(6400MT/s)MRDIMM(8000MT/s),DDR5(6400MT/s) MRDIMM(8800MT/s),DDR5(6400MT/s) MRDIMM(8800MT/s),DDR5(6400MT/s),DDR4 3200 MT/sDDR5 4800 MT/sLPDDR5 4800 MT/s,DDR4 3200 MT/sDDR5 4800 MT/sLPDDR5 4800 MT/s,DDR5,DDR5(6400MT/s),DDR5,DDR5,DDR5,Up to LPDDR5X 9600 MT/s,Up to LPDDR5X 9600 MT/s,Up to LPDDR5X 9600 MT/s,Up to LPDDR5X  9600MT/s,Up to DDR5 7200 MT/s,Up to LPDDR5X 8533 MT/s,Up to DDR5 7200 MT/s,Up to LPDDR5X  8533 MT/s,Up to LPDDR5X 8533 MT/s,Up to DDR5 7200 MT/s,Up to LPDDR5X 8533 MT/s Up to DDR5 7200 MT/s,DDR5,DDR5,DDR5,Up to LPDDR5X  8533 MT/s,Up to LPDDR5X  8533 MT/s,Up To DDR5 7200 MT/s,Up To DDR5 7200 MT/s,Up To DDR5 7200 MT/s,Up to LPDDR5X 7467 MT/s,Up to DDR5 6400 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,DDR5 up to 4800 MT/s DDR4 up to 3200 MT/s,Up to LPDDR5X 7467 MT/s,Up to DDR5 6400 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,Up to LPDDR5X 7467 MT/s,Up to DDR5 6400 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,Up to LPDDR5X 7467 MT/s,Up to DDR5 6400 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,Up to LPDDR5X 7467 MT/s,Up to DDR5 6400 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,DDR5 up to 4800 MT/s DDR4 up to 3200 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,DDR5,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,DDR5,DDR5,DDR5-RDIMM-8000MT/s-1DPC,DDR5-RDIMM-8000MT/s-1DPC,DDR5-RDIMM-8000MT/s-1DPC,DDR5-RDIMM-8000MT/s-1DPC,DDR5(6400MT/s),Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,Up to LPDDR5X 9600 MT/s,DDR5-4800
Maximum Memory Speed,4800 MT/s,4800 MT/s,4800 MT/s,4800 MT/s,4800 MT/s,4800 MT/s,4800 MT/s,4800 MT/s,8000 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,4800 MT/s,4800 MT/s,5600 MT/s,5600 MT/s,6400 MT/s,5600 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,5600 MT/s,6400 MT/s,8000 MT/s,8000 MT/s,5600 MHz,5600 MHz,5600 MHz,5600 MHz,,,6400 MT/s,5600 MT/s,,6400 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,6400 MT/s,8800 MT/s,8800 MT/s,6400 MT/s,4800 MHz,4800 MHz,6400 MT/s,6400 MT/s,6400 MHz,6400 MHz,6400 MHz,,,,,,,,,5600 MT/s,6400 MT/s,4800 MT/s,,,,,,,,,,,,,,,,,,,,,,,6400 MHz,,,,,,,,,,5600 MHz,5600 MHz,8000 MHz,8000 MHz,8000 MHz,8000 MHz,6400 MT/s,,,4800 MHz
Max # of Memory Channels,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,12,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,2,2,2,2,2,2,8,4,2,8,8,8,4,4,8,8,8,8,12,12,4,1,1,4,8,8,8,8,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,2,2,2,1,1,1,1,1,1,2,2,12,12,12,12,8,1,2,2
Intel® Optane™ Persistent Memory Supported,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,No,,,,,,,,,,,,,,,,No,,No,No,No,,,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,No
ECC Memory Supported   ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes,Yes,,,No,Yes,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,No,No,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes

Expansion Options
Max # of DMI Lanes,8,8,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,,8,8,,8,,8,,8,,8,8,8,8,,8,8,,8,8,8,,,,,,,,,,,,,,,,8
Scalability,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,2S,1S,2S,2S,2S,2S,2S,1S,2S,2S,2S,4S_8S,4S_8S,2S,1S Only,,1S Only,1S Only,1S Only,1S Only,1S Only,,1S Only,1S Only,1S Only,1S Only,1S Only,2S,2S,1S,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S,1S Only,,1S,1S,1S,1S,1S,1S,1S,1S,1S,2S,2S,1S,,,1S Only,2S,1S Only,1S Only,1S Only,,,,,,,,,1S Only,1S Only,1S Only,,,1S Only,1S Only,1S Only,,1S Only,1S Only,,1S Only,,1S Only,,1S Only,,1S Only,1S Only,1S Only,1S Only,,1S Only,1S Only,1S Only,,,,,,,,,,1S Only,1S Only,2S,2S,2S,2S,2S,,,1S
PCI Express Revision,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Gen 4 |  Gen 5,,,Gen 4 |  Gen 5,Gen 4 |  Gen 5,Gen 4 |  Gen 5,Gen 4 |  Gen 5,,Gen 4 |  Gen 5,Gen 4 |  Gen 5,Gen 4 |  Gen 5,Gen 4 |  Gen 5,Gen 4 |  Gen 5,5.0,5.0,5.0,,,,,5.0 and 4.0,5.0 and 4.0,5.0,Gen 4 |  Gen 5,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,Gen 4 |  Gen 5,5.0,Gen4 |  Gen5,Gen4 |  Gen5,Gen4 |  Gen5,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,Gen 4 |  Gen 5,Gen 4 |  Gen 5,Gen 4 |  Gen 5,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 & 4.0,5.0 & 4.0,5.0 and 4.0,5.0 & 4.0,5.0 and 4.0,5.0 & 4.0,5.0 and 4.0,5.0 & 4.0,5.0 and 4.0,5.0 & 4.0,5.0 & 4.0,5.0 & 4.0,5.0 & 4.0,5.0 and 4.0,5.0 & 4.0,5.0 & 4.0,Gen4 |  Gen5,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,Gen5,Gen5,Gen5,Gen5,5.0,4.0,5.0 and 4.0,5.0
Microprocessor PCIe Revision,Gen 5,Gen 5,Gen 5,Gen 5,Gen 5,Gen 5,Gen 5,Gen 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen 4,Gen 4,Gen 4,Gen 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen 4,Gen 4,,,,,,,,Gen 5
PCI Express Configurations ‡,Up to 1x16+1x4 |  2x8+1x4,Up to 1x16+1x4 |  2x8+1x4,Up to 1x16+1x4 |  2x8+1x4,Up to 1x16+1x4 |  2x8+1x4,Up to 1x16+1x4 |  2x8+1x4,Up to 1x16+1x4 |  2x8+1x4,Up to 1x16+1x4 |  2x8+1x4,Up to 1x16+1x4 |  2x8+1x4,,,,,,,,,,,,,,,32 Lanes Gen 5; 16 Lanes Gen 4,,32 Lanes Gen 5; 16 Lanes Gen 4,32 Lanes Gen 5; 16 Lanes Gen 4,32 Lanes Gen 5; 16 Lanes Gen 4,32 Lanes Gen 5; 16 Lanes Gen 4,32 Lanes Gen 5; 16 Lanes Gen 4,,32 Lanes Gen 5; 16 Lanes Gen 4,32 Lanes Gen 5; 16 Lanes Gen 4,32 Lanes Gen 5; 16 Lanes Gen 4,32 Lanes Gen 5; 16 Lanes Gen 4,32 Lanes Gen 5; 16 Lanes Gen 4,,,,Max 13L of PCH PCIe :For PCH PCIe Gen3 (DTR90) x8 | x4 |  x2 |  (x1 only on 4 lanes)For PCH PCIe Gen2(DTR145) x8 | x4 |  x2 |  (x1 only on 4 lanes)Max 16L for CPU PCIe Gen4: x16 |  x8 |  x4,Max 13L of PCH PCIe :For PCH PCIe Gen3 (DTR90) x8 | x4 |  x2 |  (x1 only on 4 lanes)For PCH PCIe Gen2(DTR145) x8 | x4 |  x2 |  (x1 only on 4 lanes)Max 16L for CPU PCIe Gen4: x16 |  x8 |  x4,Max 13L of PCH PCIe : For PCH PCIe Gen3 (DTR90) x8 | x4 |  x2 |  (x1 only on 4 lanes) For PCH PCIe Gen2(DTR145) x8 | x4 |  x2 |  (x1 only on 4 lanes)Max 16L for  CPU PCIe Gen4: x16 |  x8 |  x4,Max 13L of PCH PCIe :For PCH PCIe Gen3 (DTR90) x8 | x4 |  x2 |  (x1 only on 4 lanes)For PCH PCIe Gen2(DTR145) x8 | x4 |  x2 |  (x1 only on 4 lanes)Max 16L for CPU PCIe Gen4: x16 |  x8 |  x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,,32 Lanes Gen 5; 16 Lanes Gen 4,3x4 + 2x4 (x1 | x2 | x4),,,,,,,,,,,,,,,32 Lanes Gen 5; 16 Lanes Gen 4,,32 Lanes Gen 5; 16 Lanes Gen 4,32 Lanes Gen 5; 16 Lanes Gen 4,32 Lanes Gen 5; 16 Lanes Gen 4,x4 PCIe5 (1x4 | 2x2) |,x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe5 (1x4 | 2x2) | x4 PCIe4 (1x4 |  2x2 |  4x1)x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe5 (1x4 | 2x2) |,x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe4 (1x4 |  2x2 |  4x1),x8 PCIe5 (1x8 |  2x4),x4 PCIe5 (1x4 |  2x2),x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe4 (1x4 |  2x2 |  4x1),x8 PCIe5 (1x8 |  2x4),x4 PCIe5 (1x4 |  2x2),x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe5 (1x4 | 2x2) | x4 PCIe4 (1x4 |  2x2 |  4x1)x4 PCIe4 (1x4 |  2x2 |  4x1),x8 PCIe5 (1x8 |  2x4),x4 PCIe5 (1x4 |  2x2),x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe4 (1x4 |  2x2 |  4x1),x8 PCIe5 (1x8 |  2x4)x4 PCIe5 (1x4 |  2x2)x4 PCIe4 (1x4 |  2x2 |  4x1)x4 PCIe4 (1x4 |  2x2 |  4x1),32 Lanes Gen 5; 16 Lanes Gen 4,32 Lanes Gen 5; 16 Lanes Gen 4,32 Lanes Gen 5; 16 Lanes Gen 4,x4 PCIe5 (1x4 | 2x2) | x4 PCIe4 (1x4 |  2x2 |  4x1)x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe5 (1x4 | 2x2) | x4 PCIe4 (1x4 |  2x2 |  4x1)x4 PCIe4 (1x4 |  2x2 |  4x1),Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,x4 PCIe5 (1x4 | 2x2) |,x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe4 (1x4 |  2x2 |  4x1),Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,x4 PCIe5 (1x4 | 2x2) |,x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe4 (1x4 |  2x2 |  4x1),Up to 1x16+4 |  2x8+4,x4 PCIe5 (1x4 | 2x2) |,x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe4 (1x4 |  2x2 |  4x1),Up to 1x16+4 |  2x8+4,x4 PCIe5 (1x4 | 2x2) |,x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe4 (1x4 |  2x2 |  4x1),Up to 1x16+4 |  2x8+4,x4 PCIe5 (1x4 | 2x2) |,x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe4 (1x4 |  2x2 |  4x1),Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,x4 PCIe5 (1x4 | 2x2) | x4 PCIe4 (1x4 |  2x2 |  4x1)x4 PCIe4 (1x4 |  2x2 |  4x1),Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,32 Lanes Gen 5; 16 Lanes Gen 4,1x16+2x4 |  2x8+2x4 |  1x8+4x4,1x16+2x4 |  2x8+2x4 |  1x8+4x4,1x16+2x4 |  2x8+2x4 |  1x8+4x4,x6 PCIe4(1x4 | 3x2 | 6x1),x6 PCIe4(1x4 | 3x2 | 6x1),x6 PCIe4(1x4 | 3x2 | 6x1),x6 PCIe4(1x4 | 3x2 | 6x1),x6 PCIe4(1x4 |  3x2 |  6x1),x6 PCIe4(1x4 | 3x2 | 6x1),Max 13L of PCH PCIe :For PCH PCIe Gen3 (DTR90) x8 | x4 |  x2 |  (x1 only on 4 lanes)For PCH PCIe Gen2(DTR145) x8 | x4 |  x2 |  (x1 only on 4 lanes)Max 16L for CPU PCIe Gen4: x16 |  x8 |  x4,Max 13L of PCH PCIe :For PCH PCIe Gen3 (DTR90) x8 | x4 |  x2 |  (x1 only on 4 lanes)For PCH PCIe Gen2(DTR145) x8 | x4 |  x2 |  (x1 only on 4 lanes)Max 16L for CPU PCIe Gen4: x16 |  x8 |  x4,,,,,,x6 PCIe4(1x4 | 3x2 | 6x1),x4 PCIe5 (1x4 | 2x2) | x4 PCIe4 (1x4 |  2x2 |  4x1)x4 PCIe4 (1x4 |  2x2 |  4x1),Up to 1x16+1x4 |  2x8+1x4
Max # of PCI Express Lanes,20,20,20,20,20,20,20,20,88,136,88,88,88,88,88,136,88,88,88,88,88,96,48,,48,48,48,48,48,,48,48,48,48,48,88,88,136,29,29,29,29,24,24,128,48,20,128,128,128,80,80,128,128,128,128,96,96,80,9,9,48,88,48,48,48,12,12,12,20,20,12,20,20,48,48,48,12,12,24,24,24,12,20,20,12,20,12,20,12,20,12,20,20,20,20,12,20,20,48,24,24,24,6,6,6,6,6,6,29,29,96,96,96,96,88,6,12,20
PCI Support,,,,,,,,,,,,,,,,,,,,,,,,,Gen 4 |  Gen 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipset / PCH PCIe Revision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen 3,Gen 3,Gen 3,Gen 3,,,,,,,,,,,,,,,,,,Gen 3,Gen 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen 3,Gen 3,,,,,,,,
Direct Media Interface (DMI) Revision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,,,4,4,4,4,4,4,4,4,4,,,4,,,,,,,,,,,,,,,,,,,,,4,4,4,,4,4,,4,,4,,4,,4,4,4,4,,4,4,,4,4,4,,,,,,,,,,,,,,,,
Intel® Thunderbolt™ 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,No,Yes,Yes,Yes,,,Yes,,Yes,,Yes,,Yes,,,,,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,

Package Specifications
Sockets Supported,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA7529,FCBGA4368,FCBGA4368,FCBGA4368,FCBGA4368,FCBGA4368,FCBGA4368,FCBGA4368,FCBGA4368,FCBGA4368,FCBGA4368,FCBGA4368,FCBGA4368,FCBGA4368,FCLGA4710,FCLGA4710,FCLGA4710,FCBGA2147,FCBGA2147,FCBGA2147,FCBGA2147,FCLGA1851,FCLGA1851,FCLGA4710,,,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA7529,FCLGA7529,FCLGA4710,FCBGA1264,FCBGA1264,,FCLGA4710,FCBGA5026,FCBGA5026,FCBGA5026,FCBGA2540,FCBGA2540,FCBGA2540,FCBGA2540,FCBGA2540,FCBGA2540,FCBGA2540,FCBGA2540,,,,FCBGA2540,FCBGA2540,FCLGA1851,FCLGA1851,FCLGA1851,FCBGA2540,FCLGA1700,FCLGA1700,FCBGA2540,FCLGA1700,FCBGA2540,FCLGA1700,FCBGA2540,FCLGA1700,FCBGA2540,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCBGA2540,FCLGA1700,FCLGA1700,FCBGA5026,FCBGA2114,FCBGA2114,FCBGA2114,FCBGA1516,FCBGA1516,FCBGA1516,FCBGA1516,FCBGA1516,FCBGA1516,FCBGA2147,FCBGA2147,FCLGA7529,FCLGA7529,FCLGA7529,FCLGA7529,FCLGA4710,FCBGA1516,FCBGA2540,FCLGA1700
Max CPU Configuration,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,,1,,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1
TJUNCTION,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105°C,105°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Package Carrier,,,,,,,,,E2A,E2B,E2B,E2B,E2B,E2B,E2B,E2B,E2B,E2B,E2B,E2B,E2B,BR1A,,,,,,,,,,,,,,E2A,E2A,E2A,,,,,,,E2A,FCBGA4368,,E2A,E2B,E2B,E2B,E2B,E2B,E2B,E2B,E2B,BR1A,BR1A,E2B,,,,E2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR1B,BR1B,BR1B,BR1B,E2B,,,
DTS Max,,,,,,,,,94 °C,100 °C,96 °C,95 °C,100 °C,102 °C,103 °C,98 °C,97 °C,103 °C,100 °C,103 °C,102 °C,91 °C,,,,,,,,,,,,,,101 °C,100 °C,100 °C,105 °C,105 °C,105 °C,105 °C,,,95 °C,,,100 °C,99 °C,98 °C,101 °C,100 °C,98 °C,96 °C,99 °C,99 °C,102 °C,94 °C,87 °C,,,,90 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105 °C,105 °C,98 °C,99 °C,98 °C,102 °C,97 °C,,,
