Intel® Product Specification Comparison
09/02/2026 07:45:25 PM
 ,Intel® Xeon® w5-2545 Processor ,Intel® Xeon® w7-2595X Processor ,Intel® Xeon® w7-2575X Processor ,Intel® Xeon® w3-2535 Processor ,Intel® Xeon® w5-2555X Processor ,Intel® Xeon® w3-2525 Processor ,Intel® Xeon® w5-2565X Processor ,Intel Atom® x7213RE Processor ,Intel Atom® x7433RE Processor ,Intel Atom® x7835RE Processor ,Intel Atom® x7203C Processor ,Intel Atom® x7211RE Processor ,Intel® Core™ 7 processor 250U ,Intel® Core™ i7 processor 14701TE ,Intel® Core™ i7 processor 14701E ,Intel® Core™ 5 processor 220U ,Intel® Core™ i5 processor 14401E ,Intel® Core™ i9 processor 14901TE ,Intel® Core™ i5 processor 14401TE ,Intel® Core™ i5 processor 14501TE ,Intel® Core™ i5 processor 14501E ,Intel® Core™ i9 processor 14901E ,Intel® Core™  7 processor 150HL ,Intel® Core™ 5 processor 120HL ,Intel® Core™ 3 processor 100HL ,Intel® Core™ 7 processor 160HL ,Intel® Core™ 5 processor 130HL ,Intel® Xeon® 6740E Processor ,Intel® Xeon® 6756E Processor ,Intel® Xeon® 6780E Processor ,Intel® Xeon® 6710E Processor ,Intel® Xeon® 6766E Processor ,Intel® Xeon® 6731E Processor ,Intel® Xeon® 6746E Processor ,Intel® Xeon® w9-3595X Processor ,Intel® Xeon® w5-3535X Processor ,Intel® Xeon® w5-3525 Processor ,Intel® Xeon® w7-3555 Processor ,Intel® Xeon® w7-3565X Processor ,Intel® Xeon® w7-3545 Processor ,Intel® Xeon® w9-3575X Processor ,Intel® Xeon® 6960P Processor ,Intel® Xeon® 6980P Processor ,Intel® Xeon® 6979P Processor ,Intel® Xeon® 6972P Processor ,Intel® Core™ Ultra 5 Processor 238V ,Intel® Core™ Ultra 7 Processor 256V ,Intel® Core™ Ultra 5 Processor 228V ,Intel® Core™ Ultra 7 Processor 266V ,Intel® Core™ Ultra 7 Processor 258V ,Intel® Core™ Ultra 7 Processor 268V ,Intel® Core™ Ultra 5 Processor 236V ,Intel® Core™ Ultra 5 Processor 226V ,Intel® Core™ Ultra 9 Processor 288V ,Intel® Core™ Ultra 9 Processor 285T ,Intel® Core™ Ultra 9 Processor 285K ,Intel® Core™ Ultra 9 Processor 285 ,Intel® Core™ Ultra 7 Processor 265KF ,Intel® Core™ Ultra 7 Processor 265K ,Intel® Core™ Ultra 7 Processor 265F ,Intel® Core™ Ultra 7 Processor 265T ,Intel® Core™ Ultra 5 Processor 245KF ,Intel® Core™ Ultra 5 Processor 245K ,Intel® Core™ Ultra 7 Processor 265 ,Intel® Core™ Ultra 5 Processor 225F ,Intel® Core™ Ultra 5 Processor 225 ,Intel® Processor N150 ,Intel® Processor N250 ,Intel® Core™ 3 Processor N350 ,Intel® Core™ 3 Processor N355 ,Intel® Xeon® 6952P Processor ,Intel® Core™ 7 processor 250H ,Intel® Core™ 5 processor 210H ,Intel® Core™ 7 processor 240H ,Intel® Core™ 5 processor 220H ,Intel® Core™ Ultra 5 Processor 235 ,Intel® Core™ Ultra 9 Processor 285H ,Intel® Core™ Ultra 5 Processor 235H ,Intel® Core™ Ultra 5 Processor 225H ,Intel® Core™ Ultra 7 Processor 265H ,Intel® Core™ Ultra 7 Processor 255H ,Intel® Xeon® 6741P Processor ,Intel® Xeon® 6730P Processor ,Intel® Xeon® 6781P Processor ,Intel® Xeon® 6760P Processor ,Intel® Xeon® 6788P Processor ,Intel® Xeon® 6740P Processor ,Intel® Xeon® 6768P Processor ,Intel® Xeon® 6761P Processor ,Intel® Xeon® 6787P Processor ,Intel® Xeon® 6767P Processor ,Intel® Core™ Ultra 7 Processor 265U ,Intel® Core™ Ultra 7 Processor 255U ,Intel® Core™ Ultra 5 Processor 225U ,Intel® Core™ Ultra 5 Processor 235U ,Intel® Core™ Ultra 5 Processor 225T ,Intel® Core™ Ultra 5 Processor 235T ,Intel® Core™ Ultra 5 Processor 245T ,Intel® Core™ Ultra 5 Processor 245 ,Intel® Core™ 9 processor 270H ,Intel® Core™ Ultra 7 Processor 255HX ,Intel® Core™ Ultra 9 Processor 275HX ,Intel® Core™ Ultra 7 Processor 265HX ,Intel® Core™ Ultra 5 Processor 245HX ,Intel® Core™ Ultra 5 Processor 235HX ,Intel® Core™ Ultra 9 Processor 285HX ,Intel® Xeon® 6737P Processor ,Intel® Xeon® 6738P Processor ,Intel® Xeon® 6731P Processor ,Intel® Xeon® 6748P Processor ,Intel® Xeon® 6736P Processor ,Intel® Xeon® 6728P Processor ,Intel® Core™ 5 Processor 211E ,Intel® Core™ 5 Processor 221E ,Intel® Core™ 5 Processor 221TE ,Intel® Core™ 3 Processor 201TE ,Intel® Core™ 7 Processor 251TE ,Intel® Core™ 5 Processor 211TE ,Intel® Core™ 7 Processor 251E ,Intel® Core™ 3 Processor 201E 
PCI Express Configurations ‡,,,,,,,,,,,,,,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,,,,,,,,,,,,,,,,,,,,,,,,1x4 (x2 | x4) 5.0 + 1x4 (x1 | x2 | x4) 4.0,1x4 (x2 | x4) 5.0 + 1x4 (x1 | x2 | x4) 4.0,1x4 (x2 | x4) 5.0 + 1x4 (x1 | x2 | x4) 4.0,1x4 (x2 | x4) 5.0 + 1x4 (x1 | x2 | x4) 4.0,1x4 (x2 | x4) 5.0 + 1x4 (x1 | x2 | x4) 4.0,1x4 (x2 | x4) 5.0 + 1x4 (x1 | x2 | x4) 4.0,1x4 (x2 | x4) 5.0 + 1x4 (x1 | x2 | x4) 4.0,1x4 (x2 | x4) 5.0 + 1x4 (x1 | x2 | x4) 4.0,1x4 (x2 | x4) 5.0 + 1x4 (x1 | x2 | x4) 4.0,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,,,,,,,,,,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,1x8 5.0 + 3x4 4.0 + 2x4 (x1 | x2 | x4) 4.0,1x8 5.0 + 3x4 4.0 + 2x4 (x1 | x2 | x4) 4.0,1x8 5.0 + 3x4 4.0 + 2x4 (x1 | x2 | x4) 4.0,1x8 5.0 + 3x4 4.0 + 2x4 (x1 | x2 | x4) 4.0,1x8 5.0 + 3x4 4.0 + 2x4 (x1 | x2 | x4) 4.0,,,,,,,,,,,3x4 + 2x4 (x1 | x2 | x4),3x4 + 2x4 (x1 | x2 | x4),3x4 + 2x4 (x1 | x2 | x4),3x4 + 2x4 (x1 | x2 | x4),Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,,1x16+2x4 |  2x8+2x4 |  1x8+4x4,1x16+2x4 |  2x8+2x4 |  1x8+4x4,1x16+2x4 |  2x8+2x4 |  1x8+4x4,1x16+2x4 |  2x8+2x4 |  1x8+4x4,1x16+2x4 |  2x8+2x4 |  1x8+4x4,1x16+2x4 |  2x8+2x4 |  1x8+4x4,,,,,,,Up to 1x16+4 |   2x8+4,Up to 1x16+4 |   2x8+4,Up to 1x16+4 |   2x8+4,Up to 1x16+4 |   2x8+4,Up to 1x16+4 |   2x8+4,Up to 1x16+4 |   2x8+4,Up to 1x16+4 |   2x8+4,Up to 1x16+4 |   2x8+4

Package Specifications
Sockets Supported,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCBGA1264,FCBGA1264,FCBGA1264,FCBGA1264,FCBGA1264,FCBGA1744,FCLGA1700,FCLGA1700,FCBGA1744,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA7529,FCLGA7529,FCLGA7529,FCLGA7529,FCBGA2833,FCBGA2833,FCBGA2833,FCBGA2833,FCBGA2833,FCBGA2833,FCBGA2833,FCBGA2833,FCBGA2833,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCBGA1264,FCBGA1264,FCBGA1264,FCBGA1264,FCLGA7529,FCBGA1744,FCBGA1744,FCBGA1744,FCBGA1744,FCLGA1851,FCBGA2049,FCBGA2049,FCBGA2049,FCBGA2049,FCBGA2049,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCBGA2049,FCBGA2049,FCBGA2049,FCBGA2049,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCBGA1744,FCBGA2114,FCBGA2114,FCBGA2114,FCBGA2114,FCBGA2114,FCBGA2114,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA4710,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700
Package Carrier,E1B,E1B,E1B,E1B,E1B,E1B,E1B,,,,,,,,,,,,,,,,,,,,,E2B,E2B,E2B,E2B,E2B,E2B,E2B,E1A,E1A,E1A,E1A,E1A,E1A,E1A,BR1A,BR1A,BR1A,BR1A,,,,,,,,,,,,,,,,,,,,,,,,,,BR1A,,,,,,,,,,,E2A,E2A,E2A,E2A,E2A,E2A,E2A,E2A,E2A,E2A,,,,,,,,,,,,,,,,E2B,E2B,E2B,E2B,E2B,E2B,,,,,,,,
Max CPU Configuration,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTS Max,100 °C,100 °C,100 °C,99 °C,101 °C,100 °C,100 °C,,,,,,,,,,,,,,,,,,,,,106 °C,96 °C,106 °C,106 °C,101 °C,106 °C,102 °C,100 °C,102 °C,102 °C,102 °C,103 °C,101 °C,100 °C,102 °C,95 °C,95 °C,98 °C,,,,,,,,,,,,,,,,,,,,,,,,,,86 °C,,,,,,,,,,,93 °C,94 °C,97 °C,96 °C,97 °C,91 °C,97 °C,101 °C,97 °C,101 °C,,,,,,,,,,,,,,,,102 °C,102 °C,102 °C,102 °C,98 °C,97 °C,,,,,,,,
TCASE,74 °C,82 °C,81 °C,74 °C,75 °C,72 °C,79 °C,,,,,,,,,,,,,,,,,,,,,84,80,85,85,84,84,84,81 °C,76 °C,75 °C,78 °C,79 °C,76 °C,79 °C,80 °C,80 °C,80 °C,80 °C,,,,,,,,,,,,,,,,,,,,,,,,,,72 °C,,,,,,,,,,,79 °C,79 °C,81 °C,78 °C,80 °C,75 °C,79 °C,81 °C,80 °C,81 °C,,,,,,,,,,,,,,,,82 °C,82 °C,84 °C,86 °C,87 °C,79 °C,,,,,,,,
Package Size,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,50 mm x 25 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,50 mm x 25 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,104.5mm x 70.5mm,104.5mm x 70.5mm,104.5mm x 70.5mm,104.5mm x 70.5mm,27.5 mm x 27 mm,27.5 mm x 27 mm,27.5 mm x 27 mm,27.5 mm x 27 mm,27.5 mm x 27 mm,27.5 mm x 27 mm,27.5 mm x 27 mm,27.5 mm x 27 mm,27.5 mm x 27 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,104.5mm x 70.5mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,45 mm x 37.5 mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,50 mm x 25 mm,37.5 mm x 30.2 mm,37.5 mm x 30.2 mm,37.5 mm x 30.2 mm,37.5 mm x 30.2 mm,37.5 mm x 30.2 mm,37.5 mm x 30.2 mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm
TJUNCTION,,,,,,,,105°C,105°C,105°C,105°C,105°C,,100°C,100°C,,100°C,100°C,100°C,100°C,100°C,100°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105°C,105°C,105°C,105°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Temperature (Maximum),,,,,,,,,,,,,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,,,,,,,,,,,,,,,,,,,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,,100 °C,100 °C,100 °C,100 °C,105 °C,110 °C,110 °C,110 °C,110 °C,110 °C,,,,,,,,,,,110 °C,110 °C,110 °C,110 °C,105 °C,105 °C,105 °C,105 °C,100 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,,,,,,,,,,,,,,
Thermal Solution Specification,,,,,,,,,,,,,,PCG 2020C,PCG 2020C,,PCG 2020C,PCG 2020C,PCG 2020C,PCG 2020C,PCG 2020C,PCG 2020C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCG 2022D,PCG 2020A,PCG 2022C,PCG 2020A,PCG 2020A,PCG 2022C,PCG 2022D,PCG 2020A,PCG 2020A,PCG 2022C,PCG 2022C,PCG 2022C,,,,,,,,,,PCG 2022C,,,,,,,,,,,,,,,,,,,,PCG 2022D,PCG 2022D,PCG 2022D,PCG 2022C,,,,,,,,,,,,,,,,,,,,,

Advanced Technologies
Intel® QuickAssist Technology (QAT),0 default devices,0 default devices,0 default devices,0 default devices,0 default devices,0 default devices,0 default devices,,,,,,,,,,,,,,,,,,,,,4 default devices,2 default devices,2 default devices,4 default devices,2 default devices,2 default devices,2 default devices,0 default devices,0 default devices,0 default devices,0 default devices,0 default devices,0 default devices,0 default devices,4 default devices,4 default devices,4 default devices,4 default devices,,,,,,,,,,,,,,,,,,,,,,,,,,4 default devices,,,,,,,,,,,3 default devices,4 default devices,3 default devices,2 default devices,4 default devices,2 default devices,4 default devices,3 default devices,4 default devices,4 default devices,,,,,,,,,,,,,,,,4 default devices,4 default devices,3 default devices,4 default devices,4 default devices,4 default devices,,,,,,,,
Intel® Dynamic Load Balancer (DLB),0 default devices,0 default devices,0 default devices,0 default devices,0 default devices,0 default devices,0 default devices,,,,,,,,,,,,,,,,,,,,,4 default devices,2 default devices,2 default devices,4 default devices,2 default devices,2 default devices,2 default devices,0 default devices,0 default devices,0 default devices,0 default devices,0 default devices,0 default devices,0 default devices,4 default devices,4 default devices,4 default devices,4 default devices,,,,,,,,,,,,,,,,,,,,,,,,,,4 default devices,,,,,,,,,,,3 default devices,4 default devices,3 default devices,2 default devices,4 default devices,2 default devices,4 default devices,3 default devices,4 default devices,4 default devices,,,,,,,,,,,,,,,,4 default devices,4 default devices,3 default devices,4 default devices,4 default devices,4 default devices,,,,,,,,
Intel® Data Streaming Accelerator (DSA),1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,,,,,,,,,,,,,,,,,,,,,2 default devices,2 default devices,2 default devices,2 default devices,2 default devices,2 default devices,2 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,4 default devices,4 default devices,4 default devices,4 default devices,,,,,,,,,,,,,,,,,,,,,,,,,,4 default devices,,,,,,,,,,,3 default devices,4 default devices,3 default devices,2 default devices,4 default devices,2 default devices,4 default devices,3 default devices,4 default devices,4 default devices,,,,,,,,,,,,,,,,4 default devices,4 default devices,3 default devices,4 default devices,4 default devices,4 default devices,,,,,,,,
Intel® In-memory Analytics Accelerator (IAA),0 default devices,0 default devices,0 default devices,0 default devices,0 default devices,0 default devices,0 default devices,,,,,,,,,,,,,,,,,,,,,2 default devices,2 default devices,2 default devices,2 default devices,2 default devices,2 default devices,2 default devices,0 default devices,0 default devices,0 default devices,0 default devices,0 default devices,0 default devices,0 default devices,4 default devices,4 default devices,4 default devices,4 default devices,,,,,,,,,,,,,,,,,,,,,,,,,,4 default devices,,,,,,,,,,,3 default devices,4 default devices,3 default devices,2 default devices,4 default devices,2 default devices,4 default devices,3 default devices,4 default devices,4 default devices,,,,,,,,,,,,,,,,4 default devices,4 default devices,3 default devices,4 default devices,4 default devices,4 default devices,,,,,,,,
Intel® Advanced Matrix Extensions (AMX),Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,
Intel® Speed Shift Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Turbo Boost Max Technology 3.0 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,No,Yes,Yes,No,,Yes,,,,Yes,Yes,No,No,Yes,No,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,Yes,No,Yes,No,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,No,No,No,No,,,,,Yes,Yes,Yes,Yes,No,No,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Turbo Boost Technology ‡,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Intel® Hyper-Threading Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Transactional Synchronization Extensions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,,,,,,,,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,,,,,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,,,,,,,,,,,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,,,,,,,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
